Company Name,Employees,Website,Domain,Company Street,Company City,Company State,Company Country,Annual Revenue,Source
Turo,"1,000",http://www.turo.com,turo.com,111 Sutter Street,San Francisco,California,United States,"$300,000,000",Dream Companies Eng & Security
Snyk,"1,000",http://www.snyk.io,snyk.io,100 Summer Street,Boston,Massachusetts,United States,"$300,000,000",Security Companies Added
Postman,"1,000",http://www.postman.com,postman.com,201 Mission Street,San Francisco,California,United States,"$150,000,000",Dream Companies Eng & Security
Grammarly,"1,000",http://www.grammarly.com,grammarly.com,548 Market St,San Francisco,California,United States,"$200,000,000",Dream Companies Eng & Security
Dama,"1,000",http://www.damapaper.org,damapaper.org,555 California St,San Francisco,California,United States,--,Unbound Account List
Zip,990,http://www.ziphq.com,ziphq.com,680 Folsom St,San Francisco,California,United States,"$22,000,000",Unbound Account List
Intercom,990,http://www.intercom.com,intercom.com,55 2nd Street,San Francisco,California,United States,"$200,000,000",Unbound Account List
Docker,980,http://www.docker.com,docker.com,144 Townsend Street,San Francisco,California,United States,"$207,000,000",Dream Companies Eng & Security
The Linux Foundation,930,http://www.linuxfoundation.org,linuxfoundation.org,1 Letterman Drive,San Francisco,California,United States,"$177,000,000",Unbound Account List
ForgeRock (Now Ping Identity),930,http://www.pingidentity.com,pingidentity.com,201 Mission Street,San Francisco,California,United States,"$217,512,000",Unbound Account List
Alto Pharmacy,930,http://www.alto.com,alto.com,645 Harrison Street,San Francisco,California,United States,"$700,000,000",Unbound Account List
Pendo.io,910,http://www.pendo.io,pendo.io,301 Hillsborough St,Raleigh,North Carolina,United States,"$200,000,000",Dream Companies Eng & Security
Sentry,900,http://www.sentry.io,sentry.io,45 Fremont Street,San Francisco,California,United States,"$200,000,000",Dream Companies Eng & Security
Scale AI,900,http://www.scale.com,scale.com,650 California Street,San Francisco,California,United States,"$870,000,000",Dream Companies GS
Illumio,900,http://www.illumio.com,illumio.com,920 De Guigne Drive,Sunnyvale,California,United States,"$200,000,000",Security Companies Added
Airtable,900,http://www.airtable.com,airtable.com,155 5th Street,San Francisco,California,United States,"$100,000,000",Dream Companies Eng & Security
Discord,890,http://www.discord.com,discord.com,444 De Haro Street,San Francisco,California,United States,"$1,100,000,000",Unbound Account List
Marqeta,860,http://www.marqeta.com,marqeta.com,180 Grand Avenue,Oakland,California,United States,"$506,995,000",Dream Companies Eng & Security
Testlio,850,http://www.testlio.com,testlio.com,303 2nd Street,San Francisco,California,United States,"$75,600,000",Unbound Account List
Omada Health,850,http://www.omadahealth.com,omadahealth.com,500 Sansome Street,San Francisco,California,United States,"$199,407,000",Unbound Account List
Pepper Content,830,http://www.peppercontent.io,peppercontent.io,,San Francisco,California,United States,"$90,800,000",Unbound Account List
PandaDoc,820,http://www.pandadoc.com,pandadoc.com,3739 Balboa St,San Francisco,California,United States,"$100,000,000",Unbound Account List
Lytx,820,http://www.lytx.com,lytx.com,9785 Towne Centre Drive,San Diego,California,United States,"$300,000,000",Dream Companies Eng & Security
Checkr,800,http://www.checkr.com,checkr.com,1 Montgomery Street,San Francisco,California,United States,"$200,000,000",Dream Companies Eng & Security
Bolt,800,http://www.bolt.com,bolt.com,588 Sutter St,San Francisco,California,United States,--,Unbound Account List
Calm,760,http://www.calm.com,calm.com,77 Geary Street,San Francisco,California,United States,"$150,000,000",Unbound Account List
Unbabel,750,http://www.unbabel.com,unbabel.com,595 Pacific Avenue,San Francisco,California,United States,"$84,400,000",Unbound Account List
OpenSea,750,http://www.opensea.io,opensea.io,228 Park Ave S,Miami,Florida,United States,"$109,100,000",Dream Companies Eng & Security
"Niantic, Inc.",750,http://www.nianticlabs.com,nianticlabs.com,1 Sausalito - San Francisco Ferry Building,San Francisco,California,United States,"$1,000,000,000",Unbound Account List
Cribl,740,http://www.cribl.io,cribl.io,22 4th St,San Francisco,California,United States,"$200,000,000",Unbound Account List
Avenue Code,740,http://www.avenuecode.com,avenuecode.com,26 O'Farrell Street,San Francisco,California,United States,"$35,625,000",Unbound Account List
CleverTap,730,http://www.clevertap.com,clevertap.com,535 Mission St,San Francisco,California,United States,"$145,000,000",Unbound Account List
Drata,700,http://www.drata.com,drata.com,4225 Executive Square,San Diego,California,United States,"$100,000,000",Security Companies Added
Collective Health,700,http://www.collectivehealth.com,collectivehealth.com,45 Fremont St,San Francisco,California,United States,"$142,900,000",Unbound Account List
Planful,690,http://www.planful.com,planful.com,150 Spear St,San Francisco,California,United States,"$65,000,000",Unbound Account List
Enable,690,http://www.enable.com,enable.com,535 Mission Street,San Francisco,California,United States,"$114,900,000",Unbound Account List
Stack Overflow,660,http://www.stackoverflow.co,stackoverflow.co,110 William Street,New York,New York,United States,"$125,000,000",Dream Companies Eng & Security
Foodsmart,650,http://www.foodsmart.com,foodsmart.com,595 Pacific Avenue,San Francisco,California,United States,"$103,300,000",Unbound Account List
Contra,650,http://www.contra.com,contra.com,,San Francisco,California,United States,"$100,000",Unbound Account List
symphony.is,640,http://www.symphony.is,symphony.is,25 Taylor Street,San Francisco,California,United States,"$110,900,000",Unbound Account List
Kong Inc.,620,http://www.konghq.com,konghq.com,150 Spear Street,San Francisco,California,United States,"$100,000,000",Unbound Account List
Vida Health,600,http://www.vida.com,vida.com,100 Montgomery Street,San Francisco,California,United States,"$110,900,000",Unbound Account List
Lattice,600,http://www.lattice.com,lattice.com,360 1st Avenue,San Francisco,California,United States,"$60,000,000",Dream Companies Eng & Security
Lacework,600,http://www.lacework.com,lacework.com,175 S San Antonio Rd,Los Altos,California,United States,"$150,000,000",Security Companies Added
Greenhouse,600,http://www.greenhouse.io,greenhouse.io,110 5th Avenue,New York,New York,United States,"$100,000,000",Dream Companies Eng & Security
FLYR,600,http://www.flyr.com,flyr.com,160 Spear St,San Francisco,California,United States,"$25,000,000",Unbound Account List
EvenUp,600,http://www.evenuplaw.com,evenuplaw.com,353 Sacramento St,San Francisco,California,United States,"$10,000,000",Unbound Account List
Abnormal Security,600,http://www.abnormalsecurity.com,abnormalsecurity.com,185 Clara Street,San Francisco,California,United States,"$200,000,000",Security Companies Added
SugarCRM,590,http://www.sugarcrm.com,sugarcrm.com,548 Market St,San Francisco,California,United States,"$200,000,000",Unbound Account List
SingleStore,590,http://www.singlestore.com,singlestore.com,534 4th St,San Francisco,California,United States,"$110,000,000",Unbound Account List
Kaltura,570,http://www.kaltura.com,kaltura.com,201 Mission St,San Francisco,California,United States,"$180,920,000",Unbound Account List
Qualia,560,http://www.qualia.com,qualia.com,50 Fremont St,San Francisco,California,United States,"$100,000,000",Unbound Account List
Mural,560,http://www.mural.co,mural.co,650 California St,San Francisco,California,United States,"$126,700,000",Unbound Account List
Nextdoor,550,http://www.nextdoor.com,nextdoor.com,420 Taylor St,San Francisco,California,United States,"$247,276,000",Dream Companies Eng & Security
Monte Carlo,550,http://www.montecarlodata.com,montecarlodata.com,548 Market Street,San Francisco,California,United States,"$2,000,000",Unbound Account List
Sigma,540,http://www.sigmacomputing.com,sigmacomputing.com,116 New Montgomery Street,San Francisco,California,United States,"$100,000,000",Unbound Account List
Incode,540,http://www.incode.com,incode.com,101 Mission St,San Francisco,California,United States,"$60,000,000",Unbound Account List
Blend,540,http://www.blend.com,blend.com,415 Kearny Street,San Francisco,California,United States,"$153,842,000",Unbound Account List
AngelList,540,http://www.angellist.com,angellist.com,,San Francisco,California,United States,"$171,000,000,000",Unbound Account List
World,530,http://www.world.org,world.org,548 Market Street,San Francisco,California,United States,"$300,000,000",Unbound Account List
WIRED,530,http://www.wired.com,wired.com,520 3rd Street,San Francisco,California,United States,"$30,714,000",Unbound Account List
"Sephora USA, Inc.",520,,,350 Mission St,San Francisco,California,United States,--,Unbound Account List
HackerEarth,520,http://www.hackerearth.com,hackerearth.com,550 Bryant St,San Francisco,California,United States,"$36,000,000",Unbound Account List
11x,510,http://www.11x.ai,11x.ai,677 Harrison St,San Francisco,California,United States,"$10,000,000",Unbound Account List
Veryon,500,http://www.veryon.com,veryon.com,548 Market Street,San Francisco,California,United States,"$100,000,000",Unbound Account List
Simetrik,500,http://www.simetrik.com,simetrik.com,2261 Market St,San Francisco,California,United States,"$52,500,000",Unbound Account List
Orca Security,500,http://www.orca.security,orca.security,8 Sansome Street,San Francisco,California,United States,"$100,000,000",Security Companies Added
Hive,500,http://www.thehive.ai,thehive.ai,575 Market St,San Francisco,California,United States,"$156,200,000",Unbound Account List
Obsidian Security,259,https://www.obsidiansecurity.com,obsidiansecurity.com,680 Newport Center Dr Ste 200,Newport Beach,California,United States,"$26,700,000",Security Companies Added
